"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14540","login qwerty","chromium","Wed Jan 15 14:17:26 IST 2025","failed","Wed Jan 15 14:17:40 IST 2025","","clientApp.spec.js","",""
"","9686","login IPHONE 13 PRO","chromium","Wed Jan 15 14:17:26 IST 2025","passed","Wed Jan 15 14:17:35 IST 2025","","clientApp.spec.js","",""
